#Experiment_s	Run_s
SRX2272168	SRR4455930
SRX2272169	SRR4455931
SRX2272169	SRR4455932
SRX2272170	SRR4455933
SRX2272170	SRR4455934
SRX2272171	SRR4455935
SRX2272171	SRR4455936
SRX2272172	SRR4455937
SRX2272172	SRR4455938
SRX2272173	SRR4455939
SRX2272173	SRR4455940
SRX2272174	SRR4455941
SRX2272174	SRR4455942
SRX2272175	SRR4455943
SRX2272175	SRR4455944
SRX2272176	SRR4455945
SRX2272176	SRR4455946
SRX2272177	SRR4455947
SRX2272177	SRR4455948
SRX2272178	SRR4455949
SRX2272178	SRR4455950
SRX2272179	SRR4455951
SRX2272179	SRR4455952
SRX2272180	SRR4455953
SRX2272180	SRR4455954
SRX2272181	SRR4455955
SRX2272181	SRR4455956
SRX2272182	SRR4455957
SRX2272182	SRR4455958
SRX2272183	SRR4455959
SRX2272183	SRR4455960
SRX2272184	SRR4455961
SRX2272184	SRR4455962
SRX2272185	SRR4455963
SRX2272185	SRR4455964
SRX2272186	SRR4455965
SRX2272186	SRR4455966
SRX2272187	SRR4455967
SRX2272187	SRR4455968
SRX2272188	SRR4455969
SRX2272188	SRR4455970
SRX2272189	SRR4455971
SRX2272189	SRR4455972
SRX2272190	SRR4455973
SRX2272190	SRR4455974
SRX2272191	SRR4455975
SRX2272191	SRR4455976
SRX2272192	SRR4455977
SRX2272192	SRR4455978
SRX2272193	SRR4455979
SRX2272193	SRR4455980
SRX2272194	SRR4455981
SRX2272194	SRR4455982
SRX2272195	SRR4455983
SRX2272195	SRR4455984
SRX2272196	SRR4455985
SRX2272196	SRR4455986
SRX2272197	SRR4455987
SRX2272197	SRR4455988
SRX2272198	SRR4455989
SRX2272198	SRR4455990
SRX2272199	SRR4455991
SRX2272199	SRR4455992
SRX2272200	SRR4455993
SRX2272200	SRR4455994
SRX2272201	SRR4455995
SRX2272201	SRR4455996
SRX2272202	SRR4455997
SRX2272202	SRR4455998
SRX2272203	SRR4455999
SRX2272203	SRR4456000
SRX2272204	SRR4456001
SRX2272204	SRR4456002
SRX2272205	SRR4456003
SRX2272205	SRR4456004
SRX2272206	SRR4456005
SRX2272206	SRR4456006
SRX2272207	SRR4456007
SRX2272207	SRR4456008
SRX2272208	SRR4456009
SRX2272208	SRR4456010
SRX2272209	SRR4456011
SRX2272209	SRR4456012
SRX2272210	SRR4456013
SRX2272210	SRR4456014
SRX2272211	SRR4456015
SRX2272211	SRR4456016
SRX2272212	SRR4456017
SRX2272212	SRR4456018
SRX2272213	SRR4456019
SRX2272213	SRR4456020
SRX2272214	SRR4456021
SRX2272214	SRR4456022
SRX2272215	SRR4456023
SRX2272215	SRR4456024
SRX2272216	SRR4456025
SRX2272216	SRR4456026
SRX2272217	SRR4456027
SRX2272217	SRR4456028
SRX2272218	SRR4456029
SRX2272218	SRR4456030
SRX2272219	SRR4456031
SRX2272219	SRR4456032
SRX2272220	SRR4456033
SRX2272220	SRR4456034
SRX2272221	SRR4456035
SRX2272221	SRR4456036
SRX2272222	SRR4456037
SRX2272222	SRR4456038
SRX2272223	SRR4456039
SRX2272223	SRR4456040
SRX2272224	SRR4456041
SRX2272224	SRR4456042
SRX2272225	SRR4456043
SRX2272225	SRR4456044
SRX2272226	SRR4456045
SRX2272226	SRR4456046
SRX2272227	SRR4456047
SRX2272227	SRR4456048
SRX2272228	SRR4456049
SRX2272228	SRR4456050
SRX2272229	SRR4456051
